name,city,type,link,note,conf
Artlab,Buenos Aires,Digital art,https://www.instagram.com/artlabpro,"Laboratorio arte e tecnologia, legato a MUTEK AR e Supernova x Artlab (Ibiza)",Certain
Poing Club,Rotterdam,Musica,https://www.instagram.com/poing_club,"Collettivo club, organizza Poing Festival e serate all Export",Certain
LaVallee,Bruxelles,Arte,https://www.instagram.com/lavallee_bxl,"Studi arte, spazi espositivi ed eventi multidisciplinari",Certain
Galathea Kroen,Copenhagen,Musica,https://www.instagram.com/galatheakroen_,"Storico locale jazz, jam session",Certain
La Fontaine,Copenhagen,Musica,https://www.instagram.com/lafontainecph,"Il jazz bar piu antico di Copenhagen, jam session ven-dom",Certain
Baggen,Copenhagen,Musica,https://www.instagram.com/baggenkbh,Bar club queer-friendly nel Meatpacking District,Certain
Pumpehuset,Copenhagen,Musica,https://www.instagram.com/pumpehuset,Sala concerti su due piani nel centro citta,Certain
Alice,Copenhagen,Musica,https://www.instagram.com/alice_nbro,"Venue per musica avventurosa: world, jazz, elettronica, avant-garde",Certain
Lygtens Kro,Copenhagen,Misto,https://www.instagram.com/lygtenskro,"Locale con concerti intimi, cibo e birra",Certain
Katatonic Silentio,Tour da verificare,Tour artista,https://www.instagram.com/katatonic_silentio,"Producer/DJ italiana, elettronica sperimentale (Delsin, Ilian Tape)",Certain
Zoe Mcpherson,Tour da verificare,Tour artista,https://www.instagram.com/zoemcphers,"Artista multimediale franco-irlandese, base Berlino, fondatrice SFX",Certain
Sangre de Muerdago,Tour da verificare,Tour artista,https://www.instagram.com/sangredemuerdago,"Folk galiziano, attivi dal 2007",Certain
Dame Area,Tour da verificare,Tour artista,https://www.instagram.com/dame_area_,"Duo Barcellona, dark electro/EBM",Certain
Wost,Tour da verificare,Tour artista,https://www.instagram.com/wostmusic,"DJ/producer venezuelano, base Bogota, club music latino/tribal",Certain
L'Appel du Vide,Helsinki,Musica,https://www.instagram.com/lappelduvidefest,"Festival annuale a KULT: minimal wave, EBM, synth-punk, dark italo",Certain
Petit Bain,Parigi,Musica,https://www.instagram.com/petitbain,"Sala concerti/club galleggiante sulla Senna, ~250 concerti/anno",Certain
Leda Atomica,Marsiglia,Misto,https://www.instagram.com/ledaatomicamusique,"Sala concerti indipendente, punk/rock/elettronica",Certain
Soma,Marsiglia,Arte,https://www.instagram.com/soma.marseille,"Spazio arte ibrido, Cours Julien",Certain
Les 9 Salopards,Marsiglia,Misto,https://www.instagram.com/les9salopards,"Centro culturale multidisciplinare: concerti, mostre, dischi",Certain
L'Estaminet Matinal,Marsiglia,Musica,https://www.instagram.com/lestaminetmatinal,"Bar club elettronica, Notre Dame du Mont",Certain
Le Chapiteau,Marsiglia,Misto,https://www.instagram.com/le_chapiteau_marseille,"Lieu open-air, bar bio/club/ristorante, Belle de Mai",Certain
La Makeda,Marsiglia,Musica,https://www.instagram.com/lemakeda13,"Sala concerti, gestita da due donne, ~200 concerti/anno",Certain
Habitat Festival,Amburgo,Musica,https://www.instagram.com/habitatfestival,"32 ore di rave nonstop, tecno/house, luglio a MS Artville",Certain
Kampnagel,Amburgo,Arte,https://www.instagram.com/kampnagel_hamburg,Il piu grande centro indipendente per arti performative in Germania,Certain
Hafenklang,Amburgo,Musica,https://www.instagram.com/hafenklanghamburg,"Sala concerti storica, indie/rock/punk, dal 1996",Certain
Frappant,Amburgo,Arte,https://www.instagram.com/frappantgalerie,"Centro arte e cultura in ex caserma, mostre e concerti",Certain
Frau Holle,Amburgo,Musica,https://www.instagram.com/club.frauholle,"Club techno/house a St. Pauli (esistono due profili simili, verificare)",Likely
Kir,Amburgo,Musica,https://www.instagram.com/kirhamburg,Club goth/industrial/darkwave/post-punk ad Altona,Certain
Savage Club,Amburgo,Musica,https://www.instagram.com/savage_hamburg,"Serate club/live music, handle confermato via ricerca (24K follower)",Certain
Centro Sociale,Amburgo,Misto,https://www.instagram.com/centrosocialehamburg,"Centro sociale di sinistra nello Schanzenviertel, cultura e politica",Certain
Dub Cafe,Amburgo,Musica,https://dubcafehamburg.wordpress.com/,"Serata dub mensile dentro la Rote Flora, nessun IG ufficiale trovato",Guessing
Panke,Berlino,Misto,https://www.instagram.com/pankeculture,"Cafe/bar/club/spazio arte a Wedding, musica sperimentale",Certain
Codex,Berlino,Arte,https://www.instagram.com/codexberlin,"Collettivo artistico, eventi/musica avant-garde",Certain
Renate,Berlino,Musica,https://www.instagram.com/renate.berlin,"Storico club techno a Friedrichshain (rischio chiusura poi riaperto 2026, verificare stato attuale)",Likely
Slaughterhouse,Berlino,Musica,https://www.instagram.com/slaughterhouse_berlin,"Sala concerti indie/punk/metal/gothic dal 1991, Kulturfabrik Moabit",Certain
Reef,Berlino,Musica,https://www.instagram.com/reef_berlin,"Serie di serate bass/UK music, spesso al Berghain",Certain
Loophole,Berlino,Misto,https://www.instagram.com/loophole_brln,"Storico spazio DIY arte/musica a Neukolln, sfrattato nel 2024, ora opera ""in esilio"" con eventi itineranti",Certain
Ono2,Francoforte,Misto,https://www.instagram.com/ono2_frankfurt,"Spazio arte/concerti/musica, eventi privati",Certain
Death Disco,Atene,Musica,https://www.instagram.com/deathdisco_,"Club new wave/post-punk/goth/EBM, anche festival open air collegato",Certain
Chaos Festival,Atene,Musica,https://www.instagram.com/chaosfestival,"Festival techno/elettronica (nome ambiguo, esiste anche chaos.festival)",Likely
Spiti,Atene,Musica,https://www.instagram.com/spitiartbar,Spiti Art Bar a Keramikos (match incerto col nome nella lista originale),Likely
Covo Club,Bologna,Musica,https://www.instagram.com/covoclub,Storico club rock/indie dal 1980,Certain
Tpo,Bologna,Misto,https://www.instagram.com/tpo_bologna,"Municipio sociale, arte/cultura/politica dal 1995",Certain
Freakout Club,Bologna,Musica,https://www.instagram.com/freakout_club,"Live underground dal 2012, no cover band",Certain
Tank Serbatoio,Bologna,Musica,https://www.instagram.com/tank_serbatoioculturale,"Circolo Arci, concerti anche darkwave/post-punk",Certain
Manifattura Tabacchi,Firenze,Arte,https://www.instagram.com/manifatturatabacchifi,Quartiere contemporaneo con eventi arte/musica/cultura,Certain
Bonfim,Genova,Musica,https://www.instagram.com/bonfimclub,"Club musica elettronica a Nervi (attenzione: licenza ritirata nel 2024, verificare se riaperto)",Likely
Combo,Milano,Misto,https://www.instagram.com/thisiscombo,"Ostello/bar/spazio arte sui Navigli, anche a Venezia/Torino/Bologna",Certain
Circolo Nadir,Padova,Musica,https://www.instagram.com/circolonadir,"Circolo Arci, concerti anche post-punk/synth",Certain
Klang,Roma,Musica,https://www.instagram.com/klangroma,"Pigneto, elettronica/noise/jazz sperimentale/psichedelia",Certain
Fotonica Festival,Roma,Digital art,https://www.instagram.com/fotonicafestival,Festival annuale audio-visual digital arts,Certain
Rome Psych Fest,Roma,Musica,https://www.instagram.com/monkroma,Festival psichedelico ospitato al MONK Roma (uso IG del club),Likely
Amen_nite,Roma,Musica,https://www.instagram.com/amen_nite,Promoter serate rave/club,Certain
Deposito,Verona,Misto,https://www.instagram.com/deposito.verona,"Bar vintage con musica dal vivo, via XX Settembre",Certain
Veniceberg,Verona,Musica,https://www.instagram.com/veniceberg_official,"Club privato dal 2012, musica elettronica",Certain
Depo,Riga,Musica,https://www.instagram.com/klubsdepo,"Club underground/alternativo dal 2002, indie/industrial/metal/punk",Certain
Laska V21,Riga,Musica,https://www.instagram.com/laska.v21,"Concerti e bar, atmosfera industrial, darkwave/post-punk/EBM",Certain
Kanepes Kulturas Centrs,Riga,Misto,https://www.instagram.com/kanepeskc,"Centro culturale e bar, mostre e arte sperimentale",Certain
Post Club,Vilnius,Musica,https://www.instagram.com/postclubvilnius,"Nuovo club, musica elettronica",Certain
BLÅ,Oslo,Musica,https://www.instagram.com/blaaoslo,"Storico club jazz/hip-hop/concerti, il piu grande di Scandinavia",Certain
The Villa,Oslo,Musica,https://www.instagram.com/thevillaoslo,"Club elettronica underground dal 2007, techno/house/drum n bass",Certain
Jaeger,Oslo,Musica,https://www.instagram.com/jaegeroslo,"Club intimo, house/techno/disco",Certain
Revolver,Oslo,Musica,https://www.instagram.com/revolveroslo,"Bar/club rock indie, concerti in cantina",Certain
Sentralen,Oslo,Misto,https://www.instagram.com/sentralenoslo,"Ex banca, ora hub eventi/cultura/musica in centro",Certain
SALT Art & Music,Oslo,Arte,https://www.instagram.com/saltartmusic,Hub arte/musica/sauna sul lungomare,Certain
MIR,Oslo,Musica,https://www.instagram.com/lufthavnamir,"Grünerløkka Lufthavn, musica dal vivo underground dal 1997",Certain
Ingensteds,Oslo,Musica,https://www.instagram.com/ingensteds,"Ex fabbrica tessile Indigo, club/concerti/cultura",Certain
Kulturhuset,Oslo,Misto,https://www.instagram.com/kulturhusetioslo,3 piani con bar/cafe/concerti/club,Certain
Dattera til Hagen,Oslo,Misto,https://www.instagram.com/datteratilhagen,"Bar/cafe/club con cortile, DJ nel weekend",Certain
Kafé Hærverk,Oslo,Musica,https://www.instagram.com/kafehaerverk,"Bar/club per musica sperimentale/indipendente, anche negozio vinili",Certain
Vega Scene,Oslo,Arte,https://www.instagram.com/vegascene,Cinema darte e teatro indipendente dal 2018,Certain
Tegnerforbundet,Oslo,Arte,https://www.instagram.com/tegnerforbundet,Centro per larte del disegno dal 1916,Certain
Dansens Hus,Oslo,Arte,https://www.instagram.com/dansenshusoslo,Scena nazionale per la danza,Certain
Galleri Sagene Kunstsmie,Oslo,Arte,https://www.instagram.com/galleri_sagenekunstsmie,Galleria gestita da artisti nel quartiere Sagene,Certain
Murmur,Amsterdam,Musica,https://www.instagram.com/murmur.ams,"Bar/spazio culturale con impianto audio artigianale, ascolto e concerti",Certain
Wroclaw Industrial Festival,Wroclaw,Musica,https://www.instagram.com/wroclaw_industrial_festival,Festival storico dark ambient/industrial/noise,Certain
Uptodate Festival,Bialystok,Musica,https://www.instagram.com/uptodatefestival,"Festival elettronica/club culture (non a Lodz come nella tua lista, ma Bialystok)",Likely
Unsound Festival,Cracovia,Musica,https://www.instagram.com/unsoundfestival,"Festival musica sperimentale/elettronica, forme evolute del suono",Certain
Music Box,Lisbona,Musica,https://www.instagram.com/musicboxlisboa,"Club storico, epicentro scena musicale alternativa",Certain
Ministerium,Lisbona,Musica,https://www.instagram.com/ministeriumclub,"Club elettronica dal 2012, house/techno",Certain
Out.Fest,Barreiro,Musica,https://www.instagram.com/out.fest,"Festival musica esplorativa/sperimentale, vicino Lisbona",Certain
Outra Cena,Lisbona,Musica,https://www.instagram.com/outracena_lisboa,"Club in ex magazzino vinicolo, scena queer/elettronica",Certain
Zedosbois (ZDB),Lisbona,Arte,https://www.instagram.com/galeriazedosbois,"Centro arte contemporanea dal 1994, musica/teatro/danza",Certain
Gare,Porto,Musica,https://www.instagram.com/gareporto,Uno dei migliori club techno underground europei,Certain
Cueva de Locos,Barcellona,Musica,https://www.instagram.com/loboscuevade,"Nome trovato leggermente diverso (Lobos vs Locos), verificare sul posto",Likely
Casa Montjuïc,Barcellona,Misto,https://www.instagram.com/casa.montjuic,"Musica, cinema e clubbing in piccolo formato",Certain
Robadors 23,Barcellona,Musica,https://www.instagram.com/robadors23,"Sala musica indipendente dal 2004, jazz e oltre",Certain
Hangar.org,Barcellona,Arte,https://www.instagram.com/hangar_org,Centro produzione e ricerca artistica,Certain
Nitsa Club,Barcellona,Musica,https://www.instagram.com/nitsa_club,"Club elettronica piu longevo di Barcellona, dal 1994, alla Sala Apolo",Certain
Moog,Barcellona,Musica,https://www.instagram.com/moog_barcelona,"Club techno storico dal 1996, aperto 365 giorni l'anno",Certain
Sinestesia,Barcellona,Musica,https://www.instagram.com/sinestesia.barcelona,"Bar musicale e sala concerti a Sants, musica/arte/poesia",Certain
Babylon,Barcellona,Misto,https://www.instagram.com/babylon.bcn,Progetto arte/cultura dal 2019,Certain
Utopia126,Barcellona,Arte,https://www.instagram.com/utopiamarkets,Spazio creazione culturale e artistica,Certain
Undead Dark Club,Barcellona,Musica,https://www.instagram.com/undeaddarkclub,"Club gotico/alternativo attivo piu antico di Spagna, dal 1996",Certain
Wolf Barcelona,Barcellona,Musica,https://www.instagram.com/wolf.barcelona,"Discoteca a Poblenou, ex sede storica Psicodromo",Certain
M7 Club,Barcellona,Musica,https://www.instagram.com/theclubm7,Club underground elettronica a Poble-sec,Certain
Meteoro,Barcellona,Misto,https://www.instagram.com/meteoro.bcn,"Associazione culturale Poble Sec, mostre/cinema/concerti/DJ",Certain
Astra Space Travel,Barcellona,Musica,https://www.instagram.com/astraspacetravel,Serate techno underground dal 2015,Certain
Alterate Club,Barcellona,Musica,https://www.instagram.com/alterateclub,Club techno/technometal,Certain
El Pumarejo,Barcellona (Hospitalet),Misto,https://www.instagram.com/elpumarejo,"Rifugio culturale, musica sperimentale/industrial/black metal",Certain
AMEBA,Barcellona,Musica,https://www.instagram.com/ameba_bcn,"Associazione musica elettronica di Barcellona, organizza festival annuale",Certain
Continental Gràcia,Barcellona,Musica,https://www.instagram.com/sala_continental,"Bar musicale indie rock 80s/90s, musica dal vivo",Certain
Soda Acústic,Barcellona,Musica,https://www.instagram.com/sodacustic,"Piccolo locale per concerti dal vivo, jazz/blues/world",Certain
Màgia Roja,Barcellona,Musica,https://www.instagram.com/magiarojahq,"Etichetta/associazione culturale, definita da The Quietus la piu importante di Spagna per musica estrema/sperimentale",Certain
Absenta del Raval,Barcellona,Musica,https://www.instagram.com/absentaraval,Cocktail bar con concerti jazz/blues dal vivo nel seminterrato,Certain
RED58,Barcellona,Musica,https://www.instagram.com/red58club,"Club techno chiuso nel 2022, ma post recenti suggeriscono riapertura: verificare sul posto",Likely
Les Enfants Brillants,Barcellona,Musica,https://www.instagram.com/lesenfantsclub,"Club boutique hi-fi collegato a Input, elettronica",Certain
Input Hi Fidelity Dance Club,Barcellona,Musica,https://www.instagram.com/inputdanceclub,"Tempio del techno a Poble Espanyol, sistema Funktion-One",Certain
Mira Festival,Barcellona,Digital art,https://www.instagram.com/mirafestival,Festival digital arts e musica contemporanea dal 2011,Certain
Ombra Festival,Barcellona,Musica,https://www.instagram.com/ombrafestival,"Festival industrial/darkwave/elettronica sperimentale, dicembre",Certain
Mostra,Barcellona,Musica,https://www.instagram.com/mostrabcn,"Festival piccolo formato, elettronica avant-garde/sperimentale",Certain
Sala Caracol,Madrid,Musica,https://www.instagram.com/salacaracol,Concerti/feste/eventi,Certain
Sigh Club,Madrid,Musica,https://www.instagram.com/sigh.club,"Serate house/techno/vinile, alla Cadavra Club",Certain
Cadavra Club,Madrid,Musica,https://www.instagram.com/cadavra.club,Club musica elettronica,Certain
Fluido,Madrid,Musica,https://www.instagram.com/fluidoxd,"Serata house il venerdi, alla Sala Stella",Certain
Specka,Madrid,Musica,https://www.instagram.com/specka_live,Sala concerti vicino Santiago Bernabeu,Certain
Under,Madrid,Musica,https://www.instagram.com/under_bridge_club,"Spazio house/techno underground, ambiente intimo (nome esatto da confermare)",Likely
La Fábrica de Hielo,Valencia,Misto,https://www.instagram.com/lafabricadehielo_,"Ex fabbrica di ghiaccio, ora spazio socioculturale: musica/danza/cinema/teatro",Certain
Spook,Valencia,Musica,https://www.instagram.com/spook.club,Storico club dal 1984,Certain
Skeppet,Göteborg,Musica,https://www.instagram.com/skeppet_gbg,Live scen/ristorante/studio musicale,Certain
Trädgården / Under Bron,Stoccolma,Musica,https://www.instagram.com/tradgarden,"Trädgården (estivo) e Under Bron (invernale), storico complesso club sotto un ponte",Certain
Debaser,Stoccolma,Musica,https://www.instagram.com/debasersthlm,Sala concerti/club iconica dal 2002,Certain
